3;1;6;2
2;1;3;7
1;1;1;4

1,0;4,5;1,2;2,1;2,52;2,1;
5,5;3,3;9,9;1,848;2,31;1,98;
2,2;1,485;4,752;9,24;1,188;1,0395;
7,15;5,148;1,716;3,432;4,5045;4,004;
2,002;1,5015;5,148;1,05105;1,4014;1,26126;

3,9859265;-374,8678824;-8,5662110918;4,8650891;0,99864123;1;
42,7856242;-4,5346826;3,86425767;-0,7643424;6,754368;2;
0,54576547138;46,586424689;-0,632539975;4,234342458;75,535008858;0;
0,583563489427;0,9583924;-9,9543726;0,83546556;-857,834678;-1;
0,34809870124;-7,7769750323;97,64870949;8,56801507;80;-1;
